"cd","clst_type","arima_rse","rf_rse","gbm_rse","svr_rse","enn_rse","jnn_rse","min_rse","best_model"
"K008T4","B",31.659452176014,24.4483323264405,25.3910566663088,26.2914807966774,25.7594901621931,25.8061761534148,24.4483323264405,"rf"
"GR2120-2-54","E",45.7930125809369,55.4187190949753,62.879524148163,64.2011103556857,21.0039424400435,28.2779203896169,21.0039424400435,"enn"
"F3990","B",29.1542409088136,20.1082468399668,23.3371488361235,22.0568916172869,18.4181690577319,30.8422360316463,18.4181690577319,"enn"
"BX2670TV60-1","E",11.9610244574024,9.69140925734403,2.78355303445465,2.42516188162887,55.8461216877127,32.5803547078286,2.42516188162887,"svr"
"BX2670RV60-1","E",12.383462499684,40.5058097627251,42.3181273620083,20.5476357692078,145.664449178776,234.615730036923,12.383462499684,"arima"
"BX2670RV-1","E",20.7549720038792,2.20391421028507,12.3386706853603,9.71817655261056,60.7816725237923,93.6253731831928,2.20391421028507,"rf"
"BX25DLB-T-1","E",4.70339250129224,15.0803839365851,12.5731193821352,16.9889166569031,24.7118782666047,26.0640739073936,4.70339250129224,"arima"
"BX25DLB-R-1","E",406.301951421094,192.649940451135,139.253387601499,189.065743506755,188.206283534854,387.848383975272,139.253387601499,"gbm"
"BX2370V-1","E",56.043111639813,22.5416777978449,20.2901295200039,43.5467695170101,111.564422996781,230.824356666939,20.2901295200039,"gbm"
"BX2370TV60-1","E",39.5400155869982,16.3390169942538,17.3469436698826,12.529639306256,198.334823518812,213.053809766038,12.529639306256,"svr"
"BX2370RV60-1","E",35.6764224424195,18.310825946003,19.4464344476827,29.2940064924303,239.099044411903,352.64794355837,18.310825946003,"rf"
"BX2370RV-1","E",27.8974332708413,16.0115923070917,38.5209334379597,20.4279022882799,134.581813529113,210.246635202461,16.0115923070917,"rf"
"BX1870V-1","E",43.1566912539786,26.3488524315225,29.0529547575397,39.2593122076564,101.526926276601,91.4861778545706,26.3488524315225,"rf"
"BX1870TV54-1","E",57.5072000763561,20.7293371464033,7.806914070499,33.8941672824771,62.4704024927177,133.51044525022,7.806914070499,"gbm"
"B3350SUHSD","D",15.0665191733194,3.470430473939,2.88906682726357,4.82656514906881,20.275365612097,17.9458523439556,2.88906682726357,"gbm"
"B3350HSDC","B",23.7265994940713,9.34875623175302,10.003155421378,9.45511261088336,12.0911027025144,12.3438933588889,9.34875623175302,"rf"
"B3350HSD","E",36.8035324391334,9.78681919934865,5.95963372355989,10.0171824205758,65.6279147825543,75.5534505671742,5.95963372355989,"gbm"
"B2650HSDC","B",7.99904885931049,3.01470202728786,1.3061730148424,3.57254532290313,23.3126966799144,13.3857049862901,1.3061730148424,"gbm"
"B2650HSD","E",40.4518537880627,60.708539523167,80.0850254290551,78.4059760924366,203.791707281107,360.297237076039,40.4518537880627,"arima"
"B26","B",39.1168784262605,41.9744080708975,40.2629508664073,38.3214482097856,37.2428037754455,40.2197514448769,37.2428037754455,"enn"
