"cd","yr_mon","clst_type","qnty","frcst_from_now"
"ZG222A-48","2014/03","A",74,NA
"ZG222A-48","2014/04","A",96,NA
"ZG222A-48","2014/05","A",106,NA
"ZG222A-48","2014/06","A",111,NA
"ZG222A-48","2014/07","A",72,NA
"ZG222A-48","2014/08","A",60,NA
"ZG222A-48","2014/09","A",36,NA
"ZG222A-48","2014/10","A",25,NA
"ZG222A-48","2014/11","A",13,NA
"ZG222A-48","2014/12","A",11,NA
"ZG222A-48","2015/01","A",12,NA
"ZG222A-48","2015/02","A",21,NA
"ZG222A-48","2015/03","A",60,NA
"ZG222A-48","2015/04","A",120,NA
"ZG222A-48","2015/05","A",88,NA
"ZG222A-48","2015/06","A",86,NA
"ZG222A-48","2015/07","A",84,NA
"ZG222A-48","2015/08","A",50,NA
"ZG222A-48","2015/09","A",36,NA
"ZG222A-48","2015/10","A",17,NA
"ZG222A-48","2015/11","A",14,NA
"ZG222A-48","2015/12","A",18,NA
"ZG222A-48","2016/01","A",7,NA
"ZG222A-48","2016/02","A",11,NA
"ZG222A-48","2016/03","A",82,NA
"ZG222A-48","2016/04","A",96,NA
"ZG222A-48","2016/05","A",93,NA
"ZG222A-48","2016/06","A",98,98
"ZG222A-48","2016/07","A",NA,77.1150112808851
"ZG222A-48","2016/08","A",NA,51.5655060678348
"ZG222A-48","2016/09","A",NA,33.5486270969545
"ZG222A-48","2016/10","A",NA,16.9367520524637
"ZG222A-48","2016/11","A",NA,15.6935030820649
"ZG222A-48","2016/12","A",NA,15.4945684813086
"ZG222A-48","2017/01","A",NA,15.162871459098
"ZG222A-48","2017/02","A",NA,23.1998532837231
"ZG222A-48","2017/03","A",NA,80.8584429623794
"ZG222A-48","2017/04","A",NA,87.5734777663345
"ZG222A-48","2017/05","A",NA,87.1021623320822
"ZG222A-48","2017/06","A",NA,84.3070927277455
"ZD326S-60","2013/04","A",1,NA
"ZD326S-60","2013/07","A",95,NA
"ZD326S-60","2013/08","A",123,NA
"ZD326S-60","2013/09","A",68,NA
"ZD326S-60","2013/10","A",65,NA
"ZD326S-60","2013/11","A",36,NA
"ZD326S-60","2013/12","A",42,NA
"ZD326S-60","2014/01","A",22,NA
"ZD326S-60","2014/02","A",17,NA
"ZD326S-60","2014/03","A",89,NA
"ZD326S-60","2014/04","A",184,NA
"ZD326S-60","2014/05","A",204,NA
"ZD326S-60","2014/06","A",164,NA
"ZD326S-60","2014/07","A",118,NA
"ZD326S-60","2014/08","A",97,NA
"ZD326S-60","2014/09","A",98,NA
"ZD326S-60","2014/10","A",59,NA
"ZD326S-60","2014/11","A",28,NA
"ZD326S-60","2014/12","A",40,NA
"ZD326S-60","2015/01","A",15,NA
"ZD326S-60","2015/02","A",30,NA
"ZD326S-60","2015/03","A",73,NA
"ZD326S-60","2015/04","A",246,NA
"ZD326S-60","2015/05","A",167,NA
"ZD326S-60","2015/06","A",149,NA
"ZD326S-60","2015/07","A",148,NA
"ZD326S-60","2015/08","A",101,NA
"ZD326S-60","2015/09","A",73,NA
"ZD326S-60","2015/10","A",59,NA
"ZD326S-60","2015/11","A",31,NA
"ZD326S-60","2015/12","A",38,NA
"ZD326S-60","2016/01","A",17,NA
"ZD326S-60","2016/02","A",26,NA
"ZD326S-60","2016/03","A",128,NA
"ZD326S-60","2016/04","A",131,NA
"ZD326S-60","2016/05","A",112,NA
"ZD326S-60","2016/06","A",98,98
"ZD326S-60","2016/07","A",NA,101.096703906159
"ZD326S-60","2016/08","A",NA,87.9935790410134
"ZD326S-60","2016/09","A",NA,74.4835314447472
"ZD326S-60","2016/10","A",NA,52.351846826962
"ZD326S-60","2016/11","A",NA,44.6097357022619
"ZD326S-60","2016/12","A",NA,35.5602541595314
"ZD326S-60","2017/01","A",NA,28.1025974665146
"ZD326S-60","2017/02","A",NA,53.9078617297972
"ZD326S-60","2017/03","A",NA,84.6242881451315
"ZD326S-60","2017/04","A",NA,90.3868911157183
"ZD326S-60","2017/05","A",NA,87.7368077575576
"ZD326S-60","2017/06","A",NA,88.6714334114408
"ZD326P-60","2013/03","A",2,NA
"ZD326P-60","2013/04","A",2,NA
"ZD326P-60","2013/05","A",3,NA
"ZD326P-60","2013/06","A",3,NA
"ZD326P-60","2013/07","A",180,NA
"ZD326P-60","2013/08","A",190,NA
"ZD326P-60","2013/09","A",141,NA
"ZD326P-60","2013/10","A",74,NA
"ZD326P-60","2013/11","A",53,NA
"ZD326P-60","2013/12","A",72,NA
"ZD326P-60","2014/01","A",32,NA
"ZD326P-60","2014/02","A",39,NA
"ZD326P-60","2014/03","A",160,NA
"ZD326P-60","2014/04","A",293,NA
"ZD326P-60","2014/05","A",341,NA
"ZD326P-60","2014/06","A",303,NA
"ZD326P-60","2014/07","A",276,NA
"ZD326P-60","2014/08","A",185,NA
"ZD326P-60","2014/09","A",194,NA
"ZD326P-60","2014/10","A",125,NA
"ZD326P-60","2014/11","A",66,NA
"ZD326P-60","2014/12","A",109,NA
"ZD326P-60","2015/01","A",48,NA
"ZD326P-60","2015/02","A",48,NA
"ZD326P-60","2015/03","A",194,NA
"ZD326P-60","2015/04","A",461,NA
"ZD326P-60","2015/05","A",429,NA
"ZD326P-60","2015/06","A",432,NA
"ZD326P-60","2015/07","A",392,NA
"ZD326P-60","2015/08","A",282,NA
"ZD326P-60","2015/09","A",204,NA
"ZD326P-60","2015/10","A",123,NA
"ZD326P-60","2015/11","A",74,NA
"ZD326P-60","2015/12","A",103,NA
"ZD326P-60","2016/01","A",51,NA
"ZD326P-60","2016/02","A",46,NA
"ZD326P-60","2016/03","A",183,NA
"ZD326P-60","2016/04","A",191,NA
"ZD326P-60","2016/05","A",178,NA
"ZD326P-60","2016/06","A",126,126
"ZD326P-60","2016/07","A",NA,202.669149578743
"ZD326P-60","2016/08","A",NA,227.414519005331
"ZD326P-60","2016/09","A",NA,233.095270889911
"ZD326P-60","2016/10","A",NA,208.411565687936
"ZD326P-60","2016/11","A",NA,180.851233548871
"ZD326P-60","2016/12","A",NA,184.066821958002
"ZD326P-60","2017/01","A",NA,168.777779028199
"ZD326P-60","2017/02","A",NA,153.697319992644
"ZD326P-60","2017/03","A",NA,159.635123045523
"ZD326P-60","2017/04","A",NA,173.257817257914
"ZD326P-60","2017/05","A",NA,185.834821525228
"ZD326P-60","2017/06","A",NA,202.148500813322
"ZD326HL-72","2014/04","E",5,NA
"ZD326HL-72","2014/05","E",40,NA
"ZD326HL-72","2014/06","E",65,NA
"ZD326HL-72","2014/07","E",73,NA
"ZD326HL-72","2014/08","E",65,NA
"ZD326HL-72","2014/09","E",59,NA
"ZD326HL-72","2014/10","E",33,NA
"ZD326HL-72","2014/11","E",23,NA
"ZD326HL-72","2014/12","E",36,NA
"ZD326HL-72","2015/01","E",14,NA
"ZD326HL-72","2015/02","E",20,NA
"ZD326HL-72","2015/03","E",90,NA
"ZD326HL-72","2015/04","E",232,NA
"ZD326HL-72","2015/05","E",234,NA
"ZD326HL-72","2015/06","E",225,NA
"ZD326HL-72","2015/07","E",183,NA
"ZD326HL-72","2015/08","E",85,NA
"ZD326HL-72","2015/09","E",111,NA
"ZD326HL-72","2015/10","E",80,NA
"ZD326HL-72","2015/11","E",43,NA
"ZD326HL-72","2015/12","E",44,NA
"ZD326HL-72","2016/01","E",16,NA
"ZD326HL-72","2016/02","E",15,NA
"ZD326HL-72","2016/03","E",51,NA
"ZD326HL-72","2016/04","E",50,NA
"ZD326HL-72","2016/05","E",37,NA
"ZD326HL-72","2016/06","E",24,24
"ZD326HL-72","2016/07","E",NA,95.1513791174783
"ZD326HL-72","2016/08","E",NA,153.981718803376
"ZD326HL-72","2016/09","E",NA,178.501909582806
"ZD326HL-72","2016/10","E",NA,196.499946206469
"ZD326HL-72","2016/11","E",NA,178.764771322776
"ZD326HL-72","2016/12","E",NA,143.293925296872
"ZD326HL-72","2017/01","E",NA,116.7519782764
"ZD326HL-72","2017/02","E",NA,96.4258959847293
"ZD326HL-72","2017/03","E",NA,78.8156431005876
"ZD326HL-72","2017/04","E",NA,65.4806180918749
"ZD326HL-72","2017/05","E",NA,52.6818430228551
"ZD326HL-72","2017/06","E",NA,46.198296096927
"ZD323-60","2013/04","A",2,NA
"ZD323-60","2013/05","A",2,NA
"ZD323-60","2013/06","A",1,NA
"ZD323-60","2013/07","A",88,NA
"ZD323-60","2013/08","A",115,NA
"ZD323-60","2013/09","A",67,NA
"ZD323-60","2013/10","A",43,NA
"ZD323-60","2013/11","A",24,NA
"ZD323-60","2013/12","A",31,NA
"ZD323-60","2014/01","A",24,NA
"ZD323-60","2014/02","A",17,NA
"ZD323-60","2014/03","A",77,NA
"ZD323-60","2014/04","A",113,NA
"ZD323-60","2014/05","A",116,NA
"ZD323-60","2014/06","A",134,NA
"ZD323-60","2014/07","A",122,NA
"ZD323-60","2014/08","A",88,NA
"ZD323-60","2014/09","A",70,NA
"ZD323-60","2014/10","A",47,NA
"ZD323-60","2014/11","A",24,NA
"ZD323-60","2014/12","A",36,NA
"ZD323-60","2015/01","A",16,NA
"ZD323-60","2015/02","A",16,NA
"ZD323-60","2015/03","A",71,NA
"ZD323-60","2015/04","A",140,NA
"ZD323-60","2015/05","A",128,NA
"ZD323-60","2015/06","A",107,NA
"ZD323-60","2015/07","A",124,NA
"ZD323-60","2015/08","A",85,NA
"ZD323-60","2015/09","A",47,NA
"ZD323-60","2015/10","A",33,NA
"ZD323-60","2015/11","A",12,NA
"ZD323-60","2015/12","A",25,NA
"ZD323-60","2016/01","A",14,NA
"ZD323-60","2016/02","A",16,NA
"ZD323-60","2016/03","A",82,NA
"ZD323-60","2016/04","A",83,NA
"ZD323-60","2016/05","A",71,NA
"ZD323-60","2016/06","A",76,76
"ZD323-60","2016/07","A",NA,96.6198000000001
"ZD323-60","2016/08","A",NA,82.5736000000001
"ZD323-60","2016/09","A",NA,54.4153333333334
"ZD323-60","2016/10","A",NA,39.1331666666667
"ZD323-60","2016/11","A",NA,42.9679666666666
"ZD323-60","2016/12","A",NA,43.5079333333332
"ZD323-60","2017/01","A",NA,30.8469666666666
"ZD323-60","2017/02","A",NA,33.9046333333333
"ZD323-60","2017/03","A",NA,82.5192666666666
"ZD323-60","2017/04","A",NA,93.3549
"ZD323-60","2017/05","A",NA,93.3151333333333
"ZD323-60","2017/06","A",NA,100.292633333333
"ZD221-54","2013/04","A",1,NA
"ZD221-54","2013/05","A",1,NA
"ZD221-54","2013/06","A",2,NA
"ZD221-54","2013/07","A",101,NA
"ZD221-54","2013/08","A",95,NA
"ZD221-54","2013/09","A",58,NA
"ZD221-54","2013/10","A",33,NA
"ZD221-54","2013/11","A",14,NA
"ZD221-54","2013/12","A",18,NA
"ZD221-54","2014/01","A",18,NA
"ZD221-54","2014/02","A",16,NA
"ZD221-54","2014/03","A",58,NA
"ZD221-54","2014/04","A",115,NA
"ZD221-54","2014/05","A",124,NA
"ZD221-54","2014/06","A",109,NA
"ZD221-54","2014/07","A",108,NA
"ZD221-54","2014/08","A",79,NA
"ZD221-54","2014/09","A",68,NA
"ZD221-54","2014/10","A",42,NA
"ZD221-54","2014/11","A",16,NA
"ZD221-54","2014/12","A",30,NA
"ZD221-54","2015/01","A",13,NA
"ZD221-54","2015/02","A",13,NA
"ZD221-54","2015/03","A",74,NA
"ZD221-54","2015/04","A",158,NA
"ZD221-54","2015/05","A",112,NA
"ZD221-54","2015/06","A",145,NA
"ZD221-54","2015/07","A",102,NA
"ZD221-54","2015/08","A",66,NA
"ZD221-54","2015/09","A",59,NA
"ZD221-54","2015/10","A",34,NA
"ZD221-54","2015/11","A",17,NA
"ZD221-54","2015/12","A",29,NA
"ZD221-54","2016/01","A",9,NA
"ZD221-54","2016/02","A",20,NA
"ZD221-54","2016/03","A",76,NA
"ZD221-54","2016/04","A",75,NA
"ZD221-54","2016/05","A",66,NA
"ZD221-54","2016/06","A",48,48
"ZD221-54","2016/07","A",NA,79.5066263675279
"ZD221-54","2016/08","A",NA,82.8606735269439
"ZD221-54","2016/09","A",NA,80.5704827228281
"ZD221-54","2016/10","A",NA,69.0546079955759
"ZD221-54","2016/11","A",NA,65.3861067858949
"ZD221-54","2016/12","A",NA,66.9542079896252
"ZD221-54","2017/01","A",NA,57.5546971886699
"ZD221-54","2017/02","A",NA,50.0809695205988
"ZD221-54","2017/03","A",NA,52.2562485330864
"ZD221-54","2017/04","A",NA,57.9907245615245
"ZD221-54","2017/05","A",NA,61.1802014975428
"ZD221-54","2017/06","A",NA,69.13807939305
"Z725KH-60","2013/11","A",11,NA
"Z725KH-60","2013/12","A",29,NA
"Z725KH-60","2014/01","A",13,NA
"Z725KH-60","2014/02","A",34,NA
"Z725KH-60","2014/03","A",164,NA
"Z725KH-60","2014/04","A",472,NA
"Z725KH-60","2014/05","A",516,NA
"Z725KH-60","2014/06","A",447,NA
"Z725KH-60","2014/07","A",324,NA
"Z725KH-60","2014/08","A",218,NA
"Z725KH-60","2014/09","A",286,NA
"Z725KH-60","2014/10","A",184,NA
"Z725KH-60","2014/11","A",92,NA
"Z725KH-60","2014/12","A",129,NA
"Z725KH-60","2015/01","A",39,NA
"Z725KH-60","2015/02","A",40,NA
"Z725KH-60","2015/03","A",212,NA
"Z725KH-60","2015/04","A",464,NA
"Z725KH-60","2015/05","A",435,NA
"Z725KH-60","2015/06","A",352,NA
"Z725KH-60","2015/07","A",282,NA
"Z725KH-60","2015/08","A",160,NA
"Z725KH-60","2015/09","A",122,NA
"Z725KH-60","2015/10","A",68,NA
"Z725KH-60","2015/11","A",46,NA
"Z725KH-60","2015/12","A",46,NA
"Z725KH-60","2016/01","A",26,NA
"Z725KH-60","2016/02","A",34,NA
"Z725KH-60","2016/03","A",197,NA
"Z725KH-60","2016/04","A",289,NA
"Z725KH-60","2016/05","A",270,NA
"Z725KH-60","2016/06","A",236,236
"Z725KH-60","2016/07","A",NA,178.3224
"Z725KH-60","2016/08","A",NA,124.6922
